Familia,Nombre científico,Nombre en inglés,"Nombre en español / (Común en
Costa Rica)",Total,Comentarios,sum_ind
NA,Tityra semifasciata,Masked Tityra,"Tityra Carirroja (Pájaro Chancho, Calandria)",NA,NA,NA
NA,Pachyramphus cinnamomeus,Cinnamon Becard,Cabezón Canelo,NA,NA,NA
NA,Pachyramphus polychopterus,White-winged Becard,Cabezón Aliblanco,NA,NA,NA
NA,Pachyramphus aglaiae,Rose-throated Becard,Cabezón Plomizo,NA,NA,NA
Onychorhynchidae,NA,NA,NA,NA,NA,NA
NA,Onychorhynchus coronatus,Royal Flycatcher,Mosquero Real,NA,NA,NA
Tyrannidae,NA,NA,NA,NA,NA,NA
NA,Platyrinchus cancrominus,Stub-tailed Spadebill,Piquichato Norteño,NA,NA,NA
NA,Mionectes oleagineus,Ochre-bellied Flycatcher,Mosquerito Aceitunado (Tontillo),NA,NA,NA
NA,Oncostoma cinereigulare,Northern Bentbill,Piquitorcido Norteño (Brujita),1,NA,1
NA,Poecilotriccus sylvia,Slate-headed Tody-Flycatcher,Espatulilla Cabecigrís,NA,NA,NA
NA,Todirostrum cinereum,Common Tody-Flycatcher,"Espatulilla Común (Espatulilla, Mantequillilla)",NA,NA,NA
NA,Tolmomyias sulphurescens,Yellow-olive Flycatcher,Piquiplano Azufrado,NA,NA,5
NA,Camptostoma imberbe,Northern Beardless-Tyrannulet,Mosquerito Chillón,NA,NA,NA
NA,Myiopagis viridicata,Greenish Elaenia,Elainia Verdosa (Tontillo),NA,NA,NA
NA,Elaenia flavogaster,Yellow-bellied Elaenia,"Elainia Copetona (Tontillo, Bobillo, Copetoncillo)",NA,NA,NA
NA,Zimmerius parvus,Mistletoe Tyrannulet,Mosquerito Cejigrís,1,NA,1
NA,Attila spadiceus,Bright-rumped Attila,Atila Lomiamarilla,NA,NA,NA
NA,Rhytipterna holerythra,Rufous Mourner,Plañidera Rojiza,NA,NA,NA
NA,Myiarchus tuberculifer,Dusky-capped Flycatcher,Copetón Crestioscuro (Tontillo),3,NA,3
NA,Myiarchus nuttingi,Nutting's Flycatcher,Copetón de Nutting (Tontillo),NA,NA,NA
NA,Myiarchus crinitus,Great Crested Flycatcher,Copetón Viajero (Tontillo),10,NA,10
